Ranking,University,Location,Year
701+,Benemérita Universidad Autónoma de Puebla,"Puebla, Mexico",2017
701+,Binghamton University SUNY,"Binghamton, United States",2017
701+,Bogor Agricultural University,"Bogor, Indonesia",2017
701+,Budapest University of Technology and Economics,"Budapest, Hungary",2017
701+,Charles Sturt University,"Thurgoona, Australia",2017
701+,Chungnam National University,"Daejeon, South Korea",2017
701+,Clemson University,"Clemson, United States",2017
701+,Corvinus University of Budapest,"Budapest, Hungary",2017
701+,Cukurova University,"Adana, Turkey",2017
701+,Dankook University,"Seoul, South Korea",2017
701+,De La Salle University,"Manila, Philippines",2017
701+,Diponegoro University,"Semarang, Indonesia",2017
701+,Vasyl` Stus Donetsk National University,"Vinnytsia, Ukraine",2017
701+,Doshisha University,"Kyoto, Japan",2017
701+,Academician Y.A. Buketov Karaganda University,"Karaganda, Kazakhstan",2017
701+,Edith Cowan University,"Joondalup, Australia",2017
701+,Fordham University,"New York City, United States",2017
701+,Fu Jen Catholic University,"New Taipei City, Taiwan",2017
701+,Gazi Üniversitesi,"Ankara, Turkey",2017
701+,Georgia State University,"Atlanta, United States",2017
701+,Gunma University,"Maebashi, Japan",2017
701+,Hacettepe University,"Ankara, Turkey",2017
701+,Instituto Politécnico Nacional (IPN),"Ciudad de México, Mexico",2017
701+,Istanbul University,"Istanbul, Turkey",2017
701+,Kansas State University,"Manhattan, United States",2017
701+,Kaunas University of Technology,"Kaunas, Lithuania",2017
701+,Kazakh Ablai Khan University of International Relations and World Languages,"Almaty, Kazakhstan",2017
701+,Kent State University,"Kent, United States",2017
701+,Khazar University,"Baku, Azerbaijan",2017
701+,Khon Kaen University,"Khon Kaen, Thailand",2017
701+,King Faisal University,"Hofuf, Saudi Arabia",2017
701+,King Mongkut's University of Technology Thonburi,"Bangkok, Thailand",2017
701+,Konkuk University,"Seoul, South Korea",2017
701+,Kuwait University,"Kuwait City, Kuwait",2017
701+,Lahore University of Management Sciences (LUMS),"Lahore, Pakistan",2017
701+,Lobachevsky University,"Nizhny Novgorod, Russia",2017
701+,University of Lodz,"Lodz, Poland",2017
701+,Loyola University Chicago,"Chicago, United States",2017
701+,Makerere University,"Kampala, Uganda",2017
701+,Manchester Metropolitan University (MMU),"Manchester , United Kingdom",2017
701+,Marquette University,"Milwaukee, United States",2017
701+,Miami University,"Oxford, United States",2017
701+,National Chengchi University,"Taipei City, Taiwan",2017
701+,"National Technical University  ""Kharkiv Polytechnic Institute""","Kharkiv, Ukraine",2017
701+,New Jersey Institute of Technology (NJIT),"Newark, United States",2017
701+,Nicolaus Copernicus University,"Toruń, Poland",2017
701+,Niigata University,"Niigata City, Japan",2017
701+,Northumbria University at Newcastle,"Newcastle upon Tyne, United Kingdom",2017
701+,North-West University,"Potchefstroom, South Africa",2017
701+,Nottingham Trent University,"Nottingham, United Kingdom",2017
701+,Novosibirsk State Technical University,"Novosibirsk, Russia",2017
701+,Ochanomizu University,"Tokyo, Japan",2017
701+,Ohio University,"Athens, United States",2017
701+,Oklahoma State University,"Stillwater, United States",2017
701+,Panjab University,"Chandigarh, India",2017
701+,Paris Lodron University of Salzburg,"Salzburg , Austria",2017
701+,Plekhanov Russian University of Economics,"Moscow, Russia",2017
701+,Pontificia Universidad Católica del Ecuador (PUCE),"Quito, Ecuador",2017
701+,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),"Porto Alegre, Brazil",2017
701+,Prince of Songkla University,"Hat Yai, Thailand",2017
701+,Baku Engineering University,"Baku, Azerbaijan",2017
701+,Quaid-i-Azam University,"Islamabad, Pakistan",2017
701+,Ritsumeikan University,"Kyoto, Japan",2017
701+,Ryerson University,"Toronto, Canada",2017
701+,Saitama University,"Saitama City, Japan",2017
701+,San Diego State University,"San Diego , United States",2017
701+,Seoul National University of Science and Technology,"Seoul, South Korea",2017
701+,Institut Teknologi Sepuluh Nopember (ITS Surabaya),"Surabaya, Indonesia",2017
701+,Shahid Beheshti University (SBU),"Tehran, Iran, Islamic Republic of",2017
701+,Shinshu University,"Matsumoto City, Japan",2017
701+,Smith College,"Northampton, United States",2017
701+,Southern Methodist University,"Dallas, United States",2017
701+,Sumy State University,"Sumy, Ukraine",2017
701+,Robert Gordon University,"Aberdeen, United Kingdom",2017
701+,Tokai University,"Hiratsuka City, Japan",2017
701+,Tokyo University of Science,"Kagurazaka, Japan",2017
701+,Universidad Austral de Chile,"Valdivia, Chile",2017
701+,Universidad Autónoma de Nuevo León,"San Nicolás de los Garza, Mexico",2017
701+,Universidad Autónoma del Estado de México (UAEMex),"Toluca de Lerdo, Mexico",2017
701+,Universidad Autónoma Metropolitana (UAM),"Mexico City, Mexico",2017
701+,Universidad de Castilla-La Mancha,"Ciudad Real, Spain",2017
701+,Universidad de Guadalajara (UDG),"Guadalajara, Mexico",2017
701+,Universidad de La Habana,"Havana, Cuba",2017
701+,Universidad de la República (Udelar),"Montevideo, Uruguay",2017
701+,Universidad de las Américas Puebla (UDLAP),"Cholula, Mexico",2017
701+,Universidad de Los Andes - (ULA) Mérida,"Merida, Venezuela",2017
701+,Universidad de Monterrey (UDEM),"San Pedro Garza García, Mexico",2017
701+,University of Murcia,"Murcia, Spain",2017
701+,Universidad de Puerto Rico,"San Juan, Puerto Rico",2017
701+,Universidad San Francisco de Quito (USFQ),"Quito, Ecuador",2017
701+,Universidad de Talca,"Talca, Chile",2017
701+,Universidad de Valparaíso (UV),"Valparaíso, Chile",2017
701+,Universidad del Norte,"Barranquilla, Colombia",2017
701+,Universidad del Rosario,"Bogotá, Colombia",2017
701+,Universidad del Valle,"Cali, Colombia",2017
701+,Universidad Diego Portales (UDP),"Santiago, Chile",2017
701+,Universidad Industrial de Santander - UIS,"Bucaramanga, Colombia",2017
701+,"ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica","San José, Costa Rica",2017
701+,Universidad Metropolitana,"Caracas, Venezuela",2017
701+,Universidad Nacional Costa Rica,"Heredia, Costa Rica",2017
701+,Universidad Nacional de Cuyo,"Mendoza, Argentina",2017
701+,Universidad Nacional de Mar del Plata,"Mar del Plata, Argentina",2017
701+,Universidad Nacional de Tucumà¡n,"San Miguel de Tucumán, Argentina",2017
701+,Universidad Nacional del Sur,"Bahia Blanca, Argentina",2017
701+,Universidad Nacional Mayor de San Marcos,"Lima, Peru",2017
701+,Universidad Panamericana (UP),"Mexico City, Mexico",2017
701+,Universidad Peruana Cayetano Heredia (UPCH),"San Martin, Peru",2017
701+,Universidad Rey Juan Carlos,"Madrid, Spain",2017
701+,Universidad Simón Bolívar (USB),"Caracas, Venezuela",2017
701+,Universidad Técnica Federico Santa María (USM),"Valparaíso, Chile",2017
701+,Universidad Tecnológica Nacional (UTN),"Buenos Aires, Argentina",2017
701+,Universidade Católica Portuguesa - UCP,"Lisbon, Portugal",2017
701+,Universidade da Coruña,"A Coruña, Spain",2017
701+,Universidade do Estado do Rio de Janeiro (UERJ),"Rio de Janeiro, Brazil",2017
701+,Universidade Estadual de Londrina,"Londrina, Brazil",2017
701+,Universidade Federal da Bahia,"Salvador, Brazil",2017
701+,Universidade Federal de Santa Catarina,"Florianópolis, Brazil",2017
701+,Universidade Federal de Santa Maria,"Frederico Westphalen, Brazil",2017
701+,Universidade Federal de Viçosa (UFV),"Viçosa, Brazil",2017
701+,Universidade Federal do Ceará (UFC),"Fortaleza, Brazil",2017
701+,Universidade Federal do Paraná - UFPR,"Curitiba, Brazil",2017
701+,Universidade Federal de Pernambuco (UFPE),"Recife, Brazil",2017
701+,Universidade Federal Fluminense,"Rio de Janeiro, Brazil",2017
701+,Ca' Foscari University of Venice,"Venice, Italy",2017
701+,Catania University,"Catania, Italy",2017
701+,Universita' degli Studi di Ferrara,"Ferrara, Italy",2017
701+,University of Genoa,"Genoa, Italy",2017
701+,Università degli Studi di Perugia,"Perugia, Italy",2017
701+,University of Siena,"Siena, Italy",2017
701+,University of Trieste,"Trieste, Italy",2017
701+,Università degli studi Roma Tre,"Rome, Italy",2017
701+,University of Palermo,"Palermo, Italy",2017
701+,Universitas Muhammadiyah Surakarta,"Surakarta, Indonesia",2017
701+,Université Charles-de-Gaulle Lille 3,France,2017
701+,Université de Caen Normandie,"Caen, France",2017
701+,Université de Cergy-Pontoise,"Cergy, France",2017
701+,Université de Lorraine,"Nancy, France",2017
701+,Université de Nantes,"Nantes, France",2017
701+,Université de Poitiers,"Poitiers, France",2017
701+,Université Jean Moulin Lyon 3,"Lyon, France",2017
701+,Université Lille 2 Droit et Santé,"Lille, France",2017
701+,Université Lumière Lyon 2,"Lyon, France",2017
701+,Université Paris-Nanterre,"Paris, France",2017
701+,Paul Valéry University Montpellier,"Montpellier, France",2017
701+,Université Toulouse 1 Capitole,"Toulouse, France",2017
701+,Universiti Teknologi MARA - UiTM,"Shah Alam, Malaysia",2017
701+,Universiti Utara Malaysia (UUM),"Sintok, Malaysia",2017
701+,University of Bahrain,"Zallaq, Bahrain",2017
701+,University of Bari,"Bari, Italy",2017
701+,University of Belgrade,"Belgrade, Serbia",2017
701+,Universitas Brawijaya,"Malang , Indonesia",2017
701+,University of Brescia,"Brescia, Italy",2017
701+,University of Bucharest,"Bucharest, Romania",2017
701+,University of Central Florida,"Orlando, United States",2017
701+,University of Central Lancashire,"Preston, United Kingdom",2017
701+,University of Colombo,"Horana, Sri Lanka",2017
701+,University of Dhaka,"Dhaka, Bangladesh",2017
701+,University of East London,"London, United Kingdom",2017
701+,University of Engineering & Technology (UET) Lahore,"Lahore, Pakistan",2017
701+,University of Ghana,"Legon, Ghana",2017
701+,University of Greenwich,United Kingdom,2017
701+,University of Hertfordshire,"Hatfield, United Kingdom",2017
701+,University of Huddersfield,"Huddersfield, United Kingdom",2017
701+,University of Karachi,"Karachi, Pakistan",2017
701+,University of Kufa,"Kufa, Iraq",2017
701+,The University of Lahore,"Lahore, Pakistan",2017
701+,University of Maribor,"Maribor, Slovenia",2017
701+,University of Montana Missoula,"Missoula , United States",2017
701+,University of Mumbai,"Mumbai, India",2017
701+,University of Nairobi,"Nairobi, Kenya",2017
701+,University of New England Australia,"Armidale, Australia",2017
701+,University of Pecs,"Pécs, Hungary",2017
701+,Savitribai Phule Pune University,"Pune, India",2017
701+,University of Salford,"Salford, United Kingdom",2017
701+,University of San Diego,"San Diego, United States",2017
701+,University of San Francisco,"San Francisco, United States",2017
701+,University of Santo Tomas,"Manila, Philippines",2017
701+,University of Southern Queensland,"Toowoomba, Australia",2017
701+,University of the Pacific,"Stockton, United States",2017
701+,University of the Western Cape,"Cape Town, South Africa",2017
701+,University of Tulsa,"Tulsa, United States",2017
701+,University of Wroclaw,"Wroclaw, Poland",2017
701+,University of Wyoming,"Laramie, United States",2017
701+,Université de Toulouse II-Le Mirail,"Toulouse, France",2017
701+,Utah State University,"Logan, United States",2017
701+,Verona University,"Verona, Italy",2017
701+,Vilnius Gediminas Technical University,"Vilnius , Lithuania",2017
701+,Voronezh State University,"Voronezh , Russia",2017
701+,Vytautas Magnus University,"Kaunas, Lithuania",2017
701+,Universitatea de Vest din Timisoara /  West University of Timisoara,"Timișoara, Romania",2017
701+,Yamaguchi University,"Yamaguchi City, Japan",2017
701+,Yokohama National University,"Yokohama City, Japan",2017
N/A,"University of California, San Francisco","San Francisco, United States",2017
N/A,Karolinska Institutet,"Stockholm, Sweden",2017
N/A,Jawaharlal Nehru University,"New Delhi, India",2017
N/A,INSEAD,"Fontainebleau, France",2017
N/A,London Business School,"London, United Kingdom",2017
N/A,Weizmann Institute of Science,"Rehovot, Israel",2017
N/A,Baylor College of Medicine,"Houston, United States",2017
N/A,BI Norwegian Business School,"Oslo, Norway",2017
N/A,Copenhagen Business School,"Frederiksberg, Denmark",2017
N/A,Cranfield University,"Bedford, United Kingdom",2017
N/A,ESSEC Business School,"Cergy, France",2017
N/A,EBS Business School,"Wiesbaden, Germany",2017
N/A,HEC Paris School of Management,"Paris, France",2017
N/A,King Abdullah University of Science & Technology (KAUST),"Thuwal, Saudi Arabia",2017
N/A,Stockholm School of Economics,Sweden,2017
N/A,Bocconi University,"Milan, Italy",2017
N/A,Université de Technologie de Compiègne (UTC),"Compiègne, France",2017
N/A,Prague University of Economics and Business,"Prague, Czech Republic",2017
N/A,WHU - Otto Beisheim School of Management,"Vallendar, Germany",2017
1,Massachusetts Institute of Technology (MIT),"Cambridge, United States",2018
2,Stanford University,"Stanford, United States",2018
3,Harvard University,"Cambridge, United States",2018
4,California Institute of Technology (Caltech),"Pasadena, United States",2018
5,University of Cambridge,"Cambridge, United Kingdom",2018
6,University of Oxford,"Oxford, United Kingdom",2018
7,UCL,"London, United Kingdom",2018
8,Imperial College London,"London, United Kingdom",2018
9,University of Chicago,"Chicago, United States",2018
10,ETH Zurich - Swiss Federal Institute of Technology,"Zürich, Switzerland",2018
11,"Nanyang Technological University, Singapore (NTU)","Singapore, Singapore",2018
12,EPFL,"Lausanne, Switzerland",2018
13,Princeton University,"Princeton, United States",2018
14,Cornell University,"Ithaca, United States",2018
15,National University of Singapore (NUS),"Singapore, Singapore",2018
16,Yale University,"New Haven, United States",2018
17,Johns Hopkins University,"Baltimore, United States",2018
18,Columbia University,"New York City, United States",2018
19,University of Pennsylvania,"Philadelphia, United States",2018
20,The Australian National University,"Canberra, Australia",2018
21,Duke University,"Durham, United States",2018
21,University of Michigan-Ann Arbor,"Ann Arbor, United States",2018
23,King's College London,"London, United Kingdom",2018
23,The University of Edinburgh,"Edinburgh, United Kingdom",2018
25,Tsinghua University,"Beijing, China (Mainland)",2018
26,The University of Hong Kong,"Hong Kong, Hong Kong SAR",2018
27,"University of California, Berkeley (UCB)","Berkeley, United States",2018
28,Northwestern University,"Evanston, United States",2018
28,The University of Tokyo,"Tokyo, Japan",2018
30,The Hong Kong University of Science and Technology,"Hong Kong, Hong Kong SAR",2018
31,University of Toronto,"Toronto, Canada",2018
32,McGill University,"Montreal, Canada",2018
33,"University of California, Los Angeles (UCLA)","Los Angeles, United States",2018
34,The University of Manchester,"Manchester, United Kingdom",2018
35,The London School of Economics and Political Science (LSE),"London, United Kingdom",2018
36,Seoul National University,"Seoul, South Korea",2018
36,Kyoto University,"Kyoto, Japan",2018
38,"University of California, San Diego (UCSD)","San Diego, United States",2018
38,Peking University,"Beijing, China (Mainland)",2018
40,Fudan University,"Shanghai, China (Mainland)",2018
41,The University of Melbourne,"Parkville, Australia",2018
41,KAIST - Korea Advanced Institute of Science & Technology,"Daejeon, South Korea",2018
43,"Ecole normale supérieure, Paris","Paris, France",2018
44,University of Bristol,"Bristol, United Kingdom",2018
45,The University of New South Wales (UNSW Sydney),"Sydney, Australia",2018
46,The Chinese University of Hong Kong (CUHK),"Hong Kong, Hong Kong SAR",2018
47,The University of Queensland,"Brisbane, Australia",2018
47,Carnegie Mellon University,"Pittsburgh, United States",2018
49,City University of Hong Kong,"Hong Kong, Hong Kong SAR",2018
50,The University of Sydney,"Sydney, Australia",2018
51,University of British Columbia,"Vancouver, Canada",2018
52,New York University (NYU),"New York City, United States",2018
53,Brown University,"Providence, United States",2018
54,Delft University of Technology,"Delft, Netherlands",2018
55,University of Wisconsin-Madison,"Madison, United States",2018
56,Tokyo Institute of Technology (Tokyo Tech),"Tokyo, Japan",2018
57,The University of Warwick,"Coventry, United Kingdom",2018
58,University of Amsterdam,"Amsterdam, Netherlands",2018
59,Ecole Polytechnique,"Palaiseau, France",2018
60,Monash University,"Melbourne, Australia",2018
61,University of Washington,"Seattle, United States",2018
62,Shanghai Jiao Tong University,"Shanghai, China (Mainland)",2018
63,Osaka University,"Osaka City, Japan",2018
64,Technical University of Munich,"Munich, Germany",2018
65,University of Glasgow,"Glasgow, United Kingdom",2018
66,Ludwig-Maximilians-Universität München,"Munich, Germany",2018
67,University of Texas at Austin,"Austin, United States",2018
68,Ruprecht-Karls-Universität Heidelberg,"Heidelberg, Germany",2018
69,University of Illinois at Urbana-Champaign,"Champaign, United States",2018
70,Georgia Institute of Technology,"Atlanta, United States",2018
71,KU Leuven,"Leuven, Belgium",2018
71,Pohang University of Science And Technology (POSTECH),"Pohang , South Korea",2018
73,University of Zurich,"Zürich, Switzerland",2018
73,University of Copenhagen,"Copenhagen, Denmark",2018
75,Universidad de Buenos Aires (UBA),"Buenos Aires, Argentina",2018
76,National Taiwan University (NTU),"Taipei City, Taiwan",2018
76,Tohoku University,"Sendai City, Japan",2018
78,Durham University,"Durham, United Kingdom",2018
78,Lund University,"Lund, Sweden",2018
80,"University of North Carolina, Chapel Hill","Chapel Hill, United States",2018
81,Boston University,"Boston, United States",2018
82,The University of Sheffield,"Sheffield, United Kingdom",2018
82,The University of Auckland,"Auckland, New Zealand",2018
84,University of Birmingham,"Birmingham, United Kingdom",2018
84,University of Nottingham,"Nottingham, United Kingdom",2018
86,The Ohio State University,"Columbus, United States",2018
87,Zhejiang University,"Hangzhou, China (Mainland)",2018
88,"Trinity College Dublin, The University of Dublin","Dublin, Ireland",2018
89,Rice University,"Houston, United States",2018
90,Korea University,"Seoul, South Korea",2018
90,University of Alberta,"Edmonton, Canada",2018
92,University of St Andrews,"St. Andrews, United Kingdom",2018
93,The University of Western Australia,"Perth, Australia",2018
93,Pennsylvania State University,"University Park, United States",2018
95,The Hong Kong Polytechnic University,"Hong Kong, Hong Kong SAR",2018
95,Lomonosov Moscow State University,"Moscow, Russia",2018
97,University of Science and Technology of China,"Hefei, China (Mainland)",2018
98,University of Geneva,"Geneva, Switzerland",2018
98,KTH Royal Institute of Technology,"Stockholm, Sweden",2018
100,Washington University in St. Louis,"St. Louis, United States",2018
101,University of Leeds,"Leeds, United Kingdom",2018
102,University of Southampton,"Southampton, United Kingdom",2018
102,University of Helsinki,"Helsinki, Finland",2018
104,Eindhoven University of Technology,"Eindhoven, Netherlands",2018
105,Purdue University,"West Lafayette, United States",2018
106,Yonsei University,"Seoul, South Korea",2018
107,"KIT, Karlsruhe Institute of Technology","Karlsruhe, Germany",2018
108,Sungkyunkwan University(SKKU),"Suwon, South Korea",2018
109,Utrecht University,"Utrecht, Netherlands",2018
109,The University of Adelaide,"Adelaide, Australia",2018
109,Leiden University,"Leiden, Netherlands",2018
112,Uppsala University,"Uppsala, Sweden",2018
113,University of Groningen,"Groningen, Netherlands",2018
114,Universiti Malaya (UM),"Kuala Lumpur, Malaysia",2018
114,Nanjing University,"Nanjing, China (Mainland)",2018
116,Technical University of Denmark,"Kongens Lyngby, Denmark",2018
116,Nagoya University,"Nagoya, Japan",2018
118,"University of California, Davis","Davis, United States",2018
119,Aarhus University,Denmark,2018
120,Humboldt-Universität zu Berlin,"Berlin, Germany",2018
121,Universidade de São Paulo,"São Paulo, Brazil",2018
122,Hokkaido University,"Sapporo, Japan",2018
122,Universidad Nacional Autónoma de México  (UNAM),"Mexico City, Mexico",2018
124,Wageningen University & Research,"Wageningen, Netherlands",2018
125,Ghent University,"Ghent, Belgium",2018
125,Freie Universitaet Berlin,"Berlin, Germany",2018
127,Queen Mary University of London,"London, United Kingdom",2018
128,Kyushu University,"Fukuoka City, Japan",2018
129,"University of Maryland, College Park","College Park, United States",2018
130,Université de Montréal,"Montreal, Canada",2018
131,Université Pierre et Marie Curie (UPMC),"Paris, France",2018
132,University of Southern California,"Los Angeles, United States",2018
133,Chalmers University of Technology,"Gothenburg, Sweden",2018
134,"University of California, Santa Barbara (UCSB)","Santa Barbara, United States",2018
135,University of York,"York, United Kingdom",2018
135,Lancaster University,"Lancaster, United Kingdom",2018
137,Cardiff University,"Cardiff, United Kingdom",2018
137,Aalto University,"Espoo, Finland",2018
137,Pontificia Universidad Católica de Chile (UC),"Santiago, Chile",2018
140,McMaster University,"Hamilton, Canada",2018
141,RWTH Aachen University,"Aachen, Germany",2018
142,University of Pittsburgh,"Pittsburgh, United States",2018
142,University of Oslo,"Oslo, Norway",2018
144,Technische Universität Berlin (TU Berlin),"Berlin, Germany",2018
145,The Hebrew University of Jerusalem,"Jerusalem, Israel",2018
146,University of Lausanne,"Lausanne, Switzerland",2018
147,Emory University,"Atlanta, United States",2018
147,Erasmus University Rotterdam,"Rotterdam, Netherlands",2018
149,University of Basel,"Basel, Switzerland",2018
149,Michigan State University,"East Lansing, United States",2018
151,University of Otago,"Dunedin, New Zealand",2018
152,University of Waterloo,"Waterloo, Canada",2018
153,Université catholique de Louvain (UCLouvain),"Louvain-la-Neuve, Belgium",2018
154,University of Vienna,"Vienna, Austria",2018
155,Hanyang University,"Seoul, South Korea",2018
156,Universitat de Barcelona,"Barcelona, Spain",2018
157,École Normale Supérieure de Lyon,"Lyon, France",2018
158,The University of Exeter,"Exeter, United Kingdom",2018
158,University of Aberdeen,"Aberdeen, United Kingdom",2018
160,University of Bath,"Bath, United Kingdom",2018
161,National Tsing Hua University,"Hsinchu City, Taiwan",2018
161,Newcastle University,"Newcastle upon Tyne, United Kingdom",2018
163,University of Minnesota Twin Cities,"Minneapolis, United States",2018
164,"University of California, Irvine","Irvine, United States",2018
164,University of Bergen,"Bergen, Norway",2018
164,Eberhard Karls Universität Tübingen,"Tübingen, Germany",2018
167,University of Bern,"Bern, Switzerland",2018
168,University College Dublin,"Dublin, Ireland",2018
169,Dartmouth College,"Hanover, United States",2018
170,Politecnico di Milano,"Milan, Italy",2018
171,Albert-Ludwigs-Universitaet Freiburg,"Freiburg im Breisgau, Germany",2018
172,Indian Institute of Technology Delhi (IITD),"New Delhi, India",2018
173,King Fahd University of Petroleum & Minerals,"Dhahran, Saudi Arabia",2018
173,University of Virginia,"Charlottesville, United States",2018
173,University of Liverpool,"Liverpool, United Kingdom",2018
176,University of Technology Sydney,"Haymarket, Australia",2018
177,CentraleSupélec,"Saint-Aubin, France",2018
178,University of Florida,"Gainesville, United States",2018
179,University of Twente,"Enschede, Netherlands",2018
179,Indian Institute of Technology Bombay (IITB),"Mumbai, India",2018
181,University of Göttingen,"Göttingen, Germany",2018
182,Technische Universität Wien,"Vienna, Austria",2018
182,University of Colorado Boulder,"Boulder, United States",2018
182,Universidade Estadual de Campinas (Unicamp),"Campinas, Brazil",2018
182,Vrije Universiteit Brussel (VUB),"Brussels, Belgium",2018
186,University of Rochester,"Rochester, United States",2018
187,Universidad Autónoma de Madrid,"Madrid, Spain",2018
188,University of Reading,"Reading, United Kingdom",2018
188,Alma Mater Studiorum - University of Bologna,"Bologna, Italy",2018
190,Indian Institute of Science,"Bangalore, India",2018
191,University of Cape Town,"Cape Town, South Africa",2018
192,Scuola Normale Superiore,"Pisa, Italy",2018
192,Keio University,"Tokyo, Japan",2018
192,Sant'Anna - Scuola Universitaria Superiore Pisa,"Pisa, Italy",2018
195,Technische Universität Dresden,"Dresden, Germany",2018
195,Universitat Autònoma de Barcelona,"Barcelona, Spain",2018
195,Stockholm University,"Stockholm, Sweden",2018
195,Texas A&M University,"Galveston, United States",2018
199,Tecnológico de Monterrey,"Monterrey, Mexico",2018
200,Maastricht University,"Maastricht, Netherlands",2018
201,Universidad de Chile,"Santiago, Chile",2018
202,Queen's University Belfast,United Kingdom,2018
203,Waseda University,"Tokyo, Japan",2018
204,Radboud University,"Nijmegen, Netherlands",2018
205,Tel Aviv University,"Tel Aviv, Israel",2018
205,Universite libre de Bruxelles,"Brussels, Belgium",2018
207,National Chiao Tung University,"Hsinchu City, Taiwan",2018
207,University of Illinois at Chicago (UIC),"Chicago, United States",2018
209,Arizona State University,"Phoenix, United States",2018
210,Western University,"London, Canada",2018
210,University of Antwerp,"Antwerp, Belgium",2018
212,Vanderbilt University,"Nashville, United States",2018
213,Case Western Reserve University,"Cleveland, United States",2018
214,University of Canterbury,"Christchurch, New Zealand",2018
215,Sapienza University of Rome,"Rome, Italy",2018
216,University of Notre Dame,"Notre Dame, United States",2018
217,University of Calgary,"Calgary, Canada",2018
218,Vrije Universiteit Amsterdam,"Amsterdam, Netherlands",2018
219,Victoria University of Wellington,"Kelburn, Wellington, New Zealand",2018
220,Sciences Po,"Paris, France",2018
221,King Saud University,"Riyadh, Saudi Arabia",2018
222,National Cheng Kung University (NCKU),"Tainan City, Taiwan",2018
223,Universität Hamburg,"Hamburg, Germany",2018
224,"The University of Newcastle, Australia (UON)","Callaghan, Australia",2018
224,Technion - Israel Institute of Technology,"Haifa, Israel",2018
224,Queen's University at Kingston,"Kingston, Canada",2018
227,Georgetown University,"Washington D.C., United States",2018
228,University of Sussex,"Brighton, United Kingdom",2018
229,Universiti Putra Malaysia (UPM),"Seri Kembangan, Malaysia",2018
230,Universiti Kebangsaan Malaysia (UKM),"Bangi, Malaysia",2018
230,The University of Arizona,"Tucson, United States",2018
232,University of Wollongong,"Wollongong, Australia",2018
233,Complutense University of Madrid,"Madrid, Spain",2018
234,Loughborough University,"Loughborough, United Kingdom",2018
235,American University of Beirut (AUB),"Beirut , Lebanon",2018
236,Université Grenoble Alpes,"Grenoble, France",2018
236,Al-Farabi Kazakh National University,"Almaty, Kazakhstan",2018
238,University of Leicester,"Leicester, United Kingdom",2018
239,Rheinische Friedrich-Wilhelms-Universität Bonn,"Bonn, Germany",2018
240,Saint Petersburg State University,"Saint Petersburg, Russia",2018
240,Macquarie University,"Sydney, Australia",2018
242,Université Paris-Saclay,France,2018
243,Tufts University,"Medford, United States",2018
243,National University of Ireland Galway,"Galway, Ireland",2018
245,Simon Fraser University,"Burnaby, Canada",2018
245,Chulalongkorn University,"Bangkok, Thailand",2018
247,RMIT University,"Melbourne, Australia",2018
247,Queensland University of Technology (QUT),"Brisbane, Australia",2018
249,University of Massachusetts Amherst,"Amherst, United States",2018
250,University of Tsukuba,"Tsukuba City, Japan",2018
250,Novosibirsk State University,"Novosibirsk , Russia",2018
252,University of Miami,"Miami, United States",2018
253,Universiti Teknologi Malaysia,"Skudai, Malaysia",2018
254,Goethe-University Frankfurt am Main,"Frankfurt, Germany",2018
254,Universidad Nacional de Colombia,"Bogotá, Colombia",2018
256,Universidad de los Andes,"Bogotá, Colombia",2018
256,Kyung Hee University,South Korea,2018
256,Beijing Normal University,"Beijing, China (Mainland)",2018
259,Royal Holloway University of London,"Egham, United Kingdom",2018
259,Norwegian University of Science And Technology,"Trondheim, Norway",2018
259,Universität Stuttgart,"Stuttgart, Germany",2018
262,Curtin University,"Perth, Australia",2018
263,North Carolina State University,"Raleigh, United States",2018
264,National Taiwan University of Science and Technology (Taiwan Tech),"Taipei City, Taiwan",2018
264,Indian Institute of Technology Madras (IITM),"Chennai, India",2018
264,University of Surrey,"Guildford, United Kingdom",2018
264,Universiti Sains Malaysia (USM),"Gelugor, Malaysia",2018
267,King Abdulaziz University (KAU),"Jeddah, Saudi Arabia",2018
267,University of Dundee,"Dundee, United Kingdom",2018
269,Université Paris 1 Panthéon-Sorbonne,"Paris, France",2018
270,University of Navarra,"Pamplona, Spain",2018
270,Ecole des Ponts ParisTech,"Paris, France",2018
272,Technical University of Darmstadt,"Darmstadt, Germany",2018
274,University of East Anglia (UEA),"Norwich, United Kingdom",2018
275,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),"Barcelona, Spain",2018
276,University of Turku,"Turku, Finland",2018
277,University of Strathclyde,"Glasgow, United Kingdom",2018
277,Universitas Indonesia,"Depok, Indonesia",2018
279,University of South Australia,"Magill, Australia",2018
279,Dalhousie University,"Halifax, Canada",2018
281,Universidad Carlos III de Madrid (UC3M),"Madrid, Spain",2018
282,Wuhan University,"Wuhan, China (Mainland)",2018
283,Rutgers University–New Brunswick,"New Brunswick, United States",2018
283,University of Gothenburg,"Gothenburg, Sweden",2018
283,University College Cork,"Cork, Ireland",2018
286,Universität Innsbruck,"Innsbruck, Austria",2018
287,Friedrich-Alexander-Universität Erlangen-Nürnberg,"Erlangen, Germany",2018
287,Linköping University,"Linköping, Sweden",2018
289,University of Ottawa,"Ottawa, Canada",2018
289,National Taiwan Normal University,"Taipei City, Taiwan",2018
