Ranking,University,Location,Year
219,Indian Institute of Technology Bombay (IITB),"Mumbai, India",2017
220,Sciences Po,"Paris, France",2017
221,Université Paris-Sorbonne (Paris IV),"Paris, France",2017
222,Arizona State University,"Phoenix, United States",2017
223,Sapienza University of Rome,"Rome, Italy",2017
223,Queen's University at Kingston,"Kingston, Canada",2017
225,University of Tsukuba,"Tsukuba City, Japan",2017
226,Simon Fraser University,"Burnaby, Canada",2017
227,King Saud University,"Riyadh, Saudi Arabia",2017
228,Université Paris 1 Panthéon-Sorbonne,"Paris, France",2017
228,Victoria University of Wellington,"Kelburn, Wellington, New Zealand",2017
228,American University of Beirut (AUB),"Beirut , Lebanon",2017
231,Rheinische Friedrich-Wilhelms-Universität Bonn,"Bonn, Germany",2017
232,Universität Hamburg,"Hamburg, Germany",2017
233,The University of Arizona,"Tucson, United States",2017
234,University of Turku,"Turku, Finland",2017
235,Royal Holloway University of London,"Egham, United Kingdom",2017
236,Al-Farabi Kazakh National University,"Almaty, Kazakhstan",2017
237,Loughborough University,"Loughborough, United Kingdom",2017
238,Tufts University,"Medford, United States",2017
239,Complutense University of Madrid,"Madrid, Spain",2017
239,University of Leicester,"Leicester, United Kingdom",2017
241,National Cheng Kung University (NCKU),"Tainan City, Taiwan",2017
241,Université Paris-Saclay,France,2017
243,National Taiwan University of Science and Technology (Taiwan Tech),"Taipei City, Taiwan",2017
244,University of Dundee,"Dundee, United Kingdom",2017
245,"The University of Newcastle, Australia (UON)","Callaghan, Australia",2017
245,University of Navarra,"Pamplona, Spain",2017
247,Macquarie University,"Sydney, Australia",2017
247,Technical University of Darmstadt,"Darmstadt, Germany",2017
249,Indian Institute of Technology Madras (IITM),"Chennai, India",2017
249,National University of Ireland Galway,"Galway, Ireland",2017
251,University of Massachusetts Amherst,"Amherst, United States",2017
252,Chulalongkorn University,"Bangkok, Thailand",2017
252,RMIT University,"Melbourne, Australia",2017
252,SOAS University of London,"London, United Kingdom",2017
252,University of East Anglia (UEA),"Norwich, United Kingdom",2017
