Ranking,University,Location,Overall Score,Academic Reputation,Employer Reputation,Faculty Student Ratio,Citations per Faculty,International Faculty Ratio,International Students Ratio
=210,Universidad Autónoma de Madrid,"Madrid, Spain",45.7,64.4,68,34.7,26.3,,
=210,Technische Universität Dresden,"Dresden, Germany",45.7,41.6,67.8,,77,72.9,36.2
212,Tel Aviv University,"Tel Aviv, Israel",45.6,47.7,36.2,,97,31.6,
213,Technion - Israel Institute of Technology,"Haifa, Israel",45.5,45.2,32.4,,80.4,65.3,
=214,University of Canterbury,"Christchurch, New Zealand",45.4,45.7,45.5,,54.8,99,62.6
=214,Georgetown University,"Washington D.C., United States",45.4,40.3,60.9,60.9,31.8,38.4,53.2
=216,Keio University,"Tokyo, Japan",45.1,57.3,73.2,58.9,,,
=216,Universite libre de Bruxelles,"Brussels, Belgium",45.1,46.2,57.9,29.4,25.7,95.1,96
218,University of Wollongong,"Wollongong, Australia",44.7,31.7,63.1,27.5,56.2,99.7,74.7
219,Indian Institute of Technology Bombay (IITB),"Mumbai, India",44.6,54.7,79.1,25,48.5,,
220,Sciences Po,"Paris, France",44.5,31.4,64.7,84.7,,53.2,98
221,Université Paris-Sorbonne (Paris IV),"Paris, France",44.4,74.9,68.1,,,26.7,67
222,Arizona State University,"Phoenix, United States",44.2,51.8,31,,70.3,30.4,58.3
=223,Sapienza University of Rome,"Rome, Italy",44,76.3,43.8,,38.1,,
=223,Queen's University at Kingston,"Kingston, Canada",44,43.4,62.3,,65.7,76.4,25.6
225,University of Tsukuba,"Tsukuba City, Japan",43.8,45.3,,77,24.9,,29.3
226,Simon Fraser University,"Burnaby, Canada",43.6,31.9,35.6,,82.9,94.9,92.7
227,King Saud University,"Riyadh, Saudi Arabia",43.4,34.5,33.4,88.5,,98.8,
=228,Université Paris 1 Panthéon-Sorbonne,"Paris, France",43.3,71.4,82.5,,,19.2,79.2
=228,Victoria University of Wellington,"Kelburn, Wellington, New Zealand",43.3,46.6,42.9,,47.8,100,60.9
=228,American University of Beirut (AUB),"Beirut , Lebanon",43.3,28.6,84.9,60.2,,98.6,69.6
231,Rheinische Friedrich-Wilhelms-Universität Bonn,"Bonn, Germany",43,57.9,,48.3,23.5,16.7,34.1
232,Universität Hamburg,"Hamburg, Germany",42.9,58.8,39.2,42,,30.3,27.1
233,The University of Arizona,"Tucson, United States",42.8,52.1,,,67.1,21.8,
234,University of Turku,"Turku, Finland",42.7,34.5,54.8,87.9,,29.5,
235,Royal Holloway University of London,"Egham, United Kingdom",42.6,,,27.2,71.5,98.3,99.1
236,Al-Farabi Kazakh National University,"Almaty, Kazakhstan",42.5,42.1,36.5,96.9,,30.3,
237,Loughborough University,"Loughborough, United Kingdom",42.3,31.7,60.1,33.8,47.9,84.3,58.1
238,Tufts University,"Medford, United States",42.2,,,67.8,59.8,38,60.1
=239,Complutense University of Madrid,"Madrid, Spain",42.1,68,72.6,,,,36.8
=239,University of Leicester,"Leicester, United Kingdom",42.1,,,56.9,43.7,84.4,97.1
