Ranking,University,Location,Overall Score,Academic Reputation,Employer Reputation,Faculty Student Ratio,Citations per Faculty,International Faculty Ratio,International Students Ratio
601-650,Masaryk University,"Brno, Czech Republic",,,,,,20.8,71.1
601-650,Middlesex University,"London, United Kingdom",,,,,,83.5,93.7
601-650,The National University of Science and Technology MISIS,"Moscow, Russia",,,,62.6,,,63.4
601-650,The New School,"New York, United States",,,,53.8,,,96.4
601-650,RUDN University,"Moscow, Russia",,,,57.9,,,84.7
601-650,Tallinn University of Technology (TalTech),"Tallinn, Estonia",,,32.9,33.2,,22.1,26.5
601-650,Universidad de Alcalá,"Alcalá de Henares, Spain",,,,27.1,,21.7,74
601-650,Universidad de Montevideo (UM),"Montevideo, Uruguay",,,30.8,41.5,,,
601-650,Universidad Torcuato Di Tella,"Buenos Aires, Argentina",,,42.1,30,,,
601-650,Universität Duisburg-Essen,"Duisburg, Germany",,,,,34.4,23.7,55.5
601-650,University Duesseldorf,"Düsseldorf, Germany",,,,25.9,21.6,,34.5
601-650,Université de Rennes 1,"Rennes, France",,,,,,18.1,23.5
601-650,Université de Sherbrooke,"Sherbrooke, Canada",,,,31,,63.6,
601-650,Université Nice Sophia Antipolis,"Nice, France",,,,,,42.7,67.7
601-650,University Paris 2 Panthéon-Assas,France,,,,52.4,,,40.8
601-650,Universiti Teknologi PETRONAS (UTP),"Seri Iskandar, Malaysia",,,,,,85.1,69.8
601-650,The University of Alabama,"Tuscaloosa, United States",,,,,38.4,,
601-650,University of Baghdad,"Baghdad, Iraq",,,,49.2,,,
601-650,University of Houston,"Houston, United States",,,,,43.9,,26.3
601-650,University of Johannesburg,"Johannesburg, South Africa",,,,28.6,,61.2,
601-650,University of Ljubljana,"Ljubljana, Slovenia",,,,36.1,,,
601-650,University of Mississippi,"Oxford, United States",,,,40.8,33.7,21.6,
601-650,University of New Hampshire,"Durham, United States",,,,51.9,30.8,,
601-650,University of Portsmouth,"Portsmouth, United Kingdom",,,,,,66.6,82.6
601-650,University of Seoul,"Seoul, South Korea",,,,33.9,,,
601-650,Ulster University,"Coleraine, United Kingdom",,,,,21.9,97.1,24
601-650,Ural Federal University - UrFU,"Ekaterinburg, Russia",,,,57.8,,,
601-650,Warsaw University of Technology,"Warsaw, Poland",,,49.7,,,,
601-650,Worcester Polytechnic Institute,"Worcester, United States",,,,25.2,35.5,,74.3
651-700,Al Imam Mohammad Ibn Saud Islamic University,"Riyadh, Saudi Arabia",,,,46.4,,97.8,32
651-700,Beijing University of Technology,"Beijing, China (Mainland)",,,,25,,,
651-700,Brigham Young University,"Provo, United States",,,40.3,,23.9,,
651-700,Brno University of Technology,"Brno, Czech Republic",,,40.2,,,,56.7
651-700,Comenius University in Bratislava,"Bratislava, Slovakia",,,,37.2,,,22.4
651-700,Coventry University,"Coventry, United Kingdom",,,,,,63.7,99.8
651-700,Technological University Dublin,"Dublin, Ireland",,,,,,39,64.2
651-700,George Mason University,"Fairfax, United States",,,,25.2,,,
651-700,Gifu University,"Gifu City, Japan",,,,68.4,,,
651-700,Istanbul Technical University,"Maslak-Istanbul, Turkey",,,51.8,,,,
651-700,Jordan University of Science & Technology,"Irbid, Jordan",,,36.1,,,16.7,70.3
651-700,Justus-Liebig-University Giessen,"Giessen, Germany",,,,,40.6,,
651-700,Kazakh-British Technical University,"Almaty, Kazakhstan",,,,35.7,,56.6,
651-700,Kyungpook National University,"Daegu, South Korea",,,,,21.5,,
651-700,Lebanese American University,"Byblos, Lebanon",,,,,,89.3,59.6
651-700,London Metropolitan University,"London, United Kingdom",,,,,,66.2,98.5
651-700,Louisiana State University,"Baton Rouge, United States",,,,,49.7,,
651-700,Maynooth University,"Maynooth, Ireland",,,,,,88,24.1
651-700,Memorial University of Newfoundland,"St. John's, Canada",,,,43.4,,,43
651-700,National and Kapodistrian University of Athens,"Athens, Greece",,,34.1,,23.8,,
651-700,Osaka City University,"Osaka City, Japan",,,,50.3,,,
651-700,Osaka Prefecture University,"Osaka City, Japan",,,,49.4,22.1,,
651-700,Palacký University Olomouc,Czech Republic,,,,29.4,,27.7,21.1
651-700,Rutgers University–Newark,"Newark, United States",,,,26.7,,28.4,
651-700,"Sofia University ""St. Kliment Ohridski""","Sofia, Bulgaria",,,,48.8,,,
651-700,Stevens Institute of Technology,"Hoboken, United States",,,,,43.3,17.3,98.1
651-700,Temple University,"Philadelphia, United States",,,,28.1,21.2,,
651-700,Universidad Adolfo Ibáñez,"Santiago, Chile",,,76,,,41.2,
651-700,Universidad Anáhuac México,"Huixquilucan, Mexico",,,46.5,42.8,,23.1,
651-700,Universidad Central de Venezuela,"Caracas, Venezuela",,,43.9,,,,
651-700,Universidad de La Sabana,"Bogotá, Colombia",,,44.8,,,,
651-700,University of Salamanca,"Salamanca, Spain",,,,,,,27.7
651-700,Universidad Iberoamericana IBERO,"Mexico City, Mexico",,,51.3,,,,
651-700,Universidade Federal de São Carlos (UFSCar),"São Paulo, Brazil",,,,37.8,,,
651-700,University of Modena and Reggio Emilia,"Modena, Italy",,,,,49.3,,
651-700,Universität Rostock,"Rostock, Germany",,,,,47.6,,
651-700,University at Albany SUNY,"Albany, United States",,,,,44.2,,
651-700,University of Calcutta,"Kolkata, India",,,,,28,,
651-700,University of Crete,"Heraklion, Greece",,,,,45.4,,
651-700,University of Debrecen,"Debrecen, Hungary",,,,25,,,53.6
651-700,University of Denver,"Denver, United States",,,,34.1,,,27.4
651-700,University of Haifa,"Haifa, Israel",,,,,32.1,,
651-700,University of Kwazulu-Natal,"Pinetown, South Africa",,,,,,68.7,
651-700,University of Latvia,"Riga, Latvia",,,,36.4,,,
651-700,University of Milano-Bicocca,"Milan, Italy",,,,,38.8,,
651-700,University of Patras,"Patras, Greece",,,,,47.3,,
651-700,University of Plymouth,"Plymouth, United Kingdom",,,,,32.7,56,34
651-700,University of Sharjah,"Sharjah, United Arab Emirates",,,,,,100,100
651-700,University of Windsor,"Windsor, Canada",,,,,70.9,,32.9
651-700,University of Zagreb,"Zagreb, Croatia",,,,34.4,,,
651-700,Victoria University,"Melbourne, Australia",,,,,25,,93.2
651-700,Virginia Commonwealth University,"Richmond, United States",,,,48.3,,,
651-700,Yeungnam University,"Gyeongsan, South Korea",,,,,,21.6,
701+,Kasetsart University,"Bangkok, Thailand",,29.7,,,,,
701+,Universidad Nacional de Rosario (UNR),"Rosario, Argentina",,27.5,,,,,
701+,Abu Dhabi University,"Abu Dhabi, United Arab Emirates",,,,,,100,100
701+,Ain Shams University,"Cairo, Egypt",,,41.5,,,,
701+,Airlangga University,"Surabaya, Indonesia",,,,,,,
701+,Al-Azhar University,"Cairo, Egypt",,,,,,,67
701+,Alexandria University,"Alexandria, Egypt",,,34.4,,,,
701+,Alexandru Ioan Cuza University,"Iași, Romania",,,,,,,
701+,University of Klagenfurt,"Klagenfurt, Austria",,,,,,86.2,64.3
701+,Ankara Üniversitesi,"Ankara, Turkey",,,,,,,
701+,Aoyama Gakuin University,"Tokyo, Japan",,,,,,,
701+,Athens University of Economics and Business,"Athens, Greece",,,39.7,,,,
701+,Auburn University,"Auburn, United States",,,,,27.2,,
701+,Australian Catholic University,"Melbourne, Australia",,,,,,,
701+,Babes-Bolyai University,"Cluj-Napoca, Romania",,,,,,,
701+,Baku State University,"Baku, Azerbaijan",,,,30.5,,,
701+,Banaras Hindu University,"Varanasi, India",,,,,23.7,,
701+,Baylor University,"Waco, United States",,,,,,,
701+,Beijing Jiaotong University,"Beijing, China (Mainland)",,,,,,,
701+,Belarusian National Technical University (BNTU),"Minsk, Belarus",,,,38.3,,,
701+,Benemérita Universidad Autónoma de Puebla,"Puebla, Mexico",,,,,,,
701+,Binghamton University SUNY,"Binghamton, United States",,,,,27.8,,42.8
701+,Bogor Agricultural University,"Bogor, Indonesia",,,,,,,
701+,Budapest University of Technology and Economics,"Budapest, Hungary",,,40.3,,,,
701+,Charles Sturt University,"Thurgoona, Australia",,,,,,44,27.8
701+,Chungnam National University,"Daejeon, South Korea",,,,28.5,,,
701+,Clemson University,"Clemson, United States",,,,,38.2,,
701+,Corvinus University of Budapest,"Budapest, Hungary",,,49.5,,,,39.2
701+,Cukurova University,"Adana, Turkey",,,,,,,
701+,Dankook University,"Seoul, South Korea",,,,54.8,,,
701+,De La Salle University,"Manila, Philippines",,,42.7,,,,
701+,Diponegoro University,"Semarang, Indonesia",,,,,,,
701+,Vasyl` Stus Donetsk National University,"Vinnytsia, Ukraine",,,,44.5,,,
701+,Doshisha University,"Kyoto, Japan",,,,,,21.2,
701+,Academician Y.A. Buketov Karaganda University,"Karaganda, Kazakhstan",,,,56.2,,,
701+,Edith Cowan University,"Joondalup, Australia",,,,,,50.6,53.6
701+,Fordham University,"New York City, United States",,,,26.1,,,35.1
701+,Fu Jen Catholic University,"New Taipei City, Taiwan",,,,,,,
701+,Gazi Üniversitesi,"Ankara, Turkey",,,,,,,
701+,Georgia State University,"Atlanta, United States",,,,,31.2,,
701+,Gunma University,"Maebashi, Japan",,,,47.3,,17.2,
701+,Hacettepe University,"Ankara, Turkey",,,,,,,
701+,Instituto Politécnico Nacional (IPN),"Ciudad de México, Mexico",,,47.1,,,,
701+,Istanbul University,"Istanbul, Turkey",,,,,,,
701+,Kansas State University,"Manhattan, United States",,,,,21.3,,
701+,Kaunas University of Technology,"Kaunas, Lithuania",,,,37,,,
701+,Kazakh Ablai Khan University of International Relations and World Languages,"Almaty, Kazakhstan",,,,42.8,,,
701+,Kent State University,"Kent, United States",,,,,30.9,22,21.3
701+,Khazar University,"Baku, Azerbaijan",,,,38.7,,61.2,35.9
701+,Khon Kaen University,"Khon Kaen, Thailand",,,,,,,
701+,King Faisal University,"Hofuf, Saudi Arabia",,,,,,99.7,
701+,King Mongkut's University of Technology Thonburi,"Bangkok, Thailand",,,,,,,
701+,Konkuk University,"Seoul, South Korea",,,,34.6,,,
701+,Kuwait University,"Kuwait City, Kuwait",,,,,,63,35.5
701+,Lahore University of Management Sciences (LUMS),"Lahore, Pakistan",,,42.9,,,,
701+,Lobachevsky University,"Nizhny Novgorod, Russia",,,,44.8,,,
701+,University of Lodz,"Lodz, Poland",,,,,,,
701+,Loyola University Chicago,"Chicago, United States",,,,32.2,,,
701+,Makerere University,"Kampala, Uganda",,,,,,,21.1
701+,Manchester Metropolitan University (MMU),"Manchester , United Kingdom",,,,,,30.9,41.4
701+,Marquette University,"Milwaukee, United States",,,,35.4,,,
701+,Miami University,"Oxford, United States",,,,,,,
701+,National Chengchi University,"Taipei City, Taiwan",,,,,,,
701+,"National Technical University  ""Kharkiv Polytechnic Institute""","Kharkiv, Ukraine",,,,52.9,,,
701+,New Jersey Institute of Technology (NJIT),"Newark, United States",,,,,28.3,,65.6
701+,Nicolaus Copernicus University,"Toruń, Poland",,,,32,,,
701+,Niigata University,"Niigata City, Japan",,,,55.1,,,
701+,Northumbria University at Newcastle,"Newcastle upon Tyne, United Kingdom",,,,,,37.8,45.7
701+,North-West University,"Potchefstroom, South Africa",,,,,,,
701+,Nottingham Trent University,"Nottingham, United Kingdom",,,31.5,,,39.6,23.6
701+,Novosibirsk State Technical University,"Novosibirsk, Russia",,,,,,,47.2
701+,Ochanomizu University,"Tokyo, Japan",,,,,,,
701+,Ohio University,"Athens, United States",,,,,,,
701+,Oklahoma State University,"Stillwater, United States",,,,,22.4,,
701+,Panjab University,"Chandigarh, India",,,,,,,
701+,Paris Lodron University of Salzburg,"Salzburg , Austria",,,,,,,92.1
701+,Plekhanov Russian University of Economics,"Moscow, Russia",,,,36.1,,,
701+,Pontificia Universidad Católica del Ecuador (PUCE),"Quito, Ecuador",,,,32.7,,,
701+,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),"Porto Alegre, Brazil",,,,,,,
701+,Prince of Songkla University,"Hat Yai, Thailand",,,,,,,
701+,Baku Engineering University,"Baku, Azerbaijan",,,,,,75.4,
701+,Quaid-i-Azam University,"Islamabad, Pakistan",,,,,48.3,,
701+,Ritsumeikan University,"Kyoto, Japan",,,,,,28.2,
701+,Ryerson University,"Toronto, Canada",,,,,29.6,,
701+,Saitama University,"Saitama City, Japan",,,,25.1,,,
701+,San Diego State University,"San Diego , United States",,,,,37.9,,
701+,Seoul National University of Science and Technology,"Seoul, South Korea",,,,,,,
701+,Institut Teknologi Sepuluh Nopember (ITS Surabaya),"Surabaya, Indonesia",,,,,,,
701+,Shahid Beheshti University (SBU),"Tehran, Iran, Islamic Republic of",,,,,23.6,,
701+,Shinshu University,"Matsumoto City, Japan",,,,,29.4,,
701+,Smith College,"Northampton, United States",,,,44.5,,,35.8
701+,Southern Methodist University,"Dallas, United States",,,,43.4,,,24.1
701+,Sumy State University,"Sumy, Ukraine",,,,54.3,,,47.5
701+,Robert Gordon University,"Aberdeen, United Kingdom",,,,,,43.6,74.1
701+,Tokai University,"Hiratsuka City, Japan",,,,,,,
701+,Tokyo University of Science,"Kagurazaka, Japan",,,,,30.1,,
701+,Universidad Austral de Chile,"Valdivia, Chile",,,,,,17.6,
701+,Universidad Autónoma de Nuevo León,"San Nicolás de los Garza, Mexico",,,,,,,
701+,Universidad Autónoma del Estado de México (UAEMex),"Toluca de Lerdo, Mexico",,,,,,,
701+,Universidad Autónoma Metropolitana (UAM),"Mexico City, Mexico",,,,,,,
701+,Universidad de Castilla-La Mancha,"Ciudad Real, Spain",,,,,,,
701+,Universidad de Guadalajara (UDG),"Guadalajara, Mexico",,,,29.8,,,
701+,Universidad de La Habana,"Havana, Cuba",,,,32.6,,,
701+,Universidad de la República (Udelar),"Montevideo, Uruguay",,,,28.4,,,
701+,Universidad de las Américas Puebla (UDLAP),"Cholula, Mexico",,,32.2,,,40.6,
701+,Universidad de Los Andes - (ULA) Mérida,"Merida, Venezuela",,,,,,,
701+,Universidad de Monterrey (UDEM),"San Pedro Garza García, Mexico",,,,,,,
701+,University of Murcia,"Murcia, Spain",,,,,,,
701+,Universidad de Puerto Rico,"San Juan, Puerto Rico",,,,,,,
701+,Universidad San Francisco de Quito (USFQ),"Quito, Ecuador",,,,,,63.2,
701+,Universidad de Talca,"Talca, Chile",,,,,,24.3,
701+,Universidad de Valparaíso (UV),"Valparaíso, Chile",,,,,,,
701+,Universidad del Norte,"Barranquilla, Colombia",,,,,,,
701+,Universidad del Rosario,"Bogotá, Colombia",,,40.8,,,22.2,
701+,Universidad del Valle,"Cali, Colombia",,,,,,,
701+,Universidad Diego Portales (UDP),"Santiago, Chile",,,36.7,,,18.1,
701+,Universidad Industrial de Santander - UIS,"Bucaramanga, Colombia",,,,,,,
701+,"ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica","San José, Costa Rica",,,,,,,
701+,Universidad Metropolitana,"Caracas, Venezuela",,,,,,18,
701+,Universidad Nacional Costa Rica,"Heredia, Costa Rica",,,,,,,
701+,Universidad Nacional de Cuyo,"Mendoza, Argentina",,,,,,,
701+,Universidad Nacional de Mar del Plata,"Mar del Plata, Argentina",,,,28.8,,,
701+,Universidad Nacional de Tucumà¡n,"San Miguel de Tucumán, Argentina",,,,,,,
701+,Universidad Nacional del Sur,"Bahia Blanca, Argentina",,,,,,,
701+,Universidad Nacional Mayor de San Marcos,"Lima, Peru",,,,,,,
701+,Universidad Panamericana (UP),"Mexico City, Mexico",,,,50.4,,,
701+,Universidad Peruana Cayetano Heredia (UPCH),"San Martin, Peru",,,,,,58.3,
701+,Universidad Rey Juan Carlos,"Madrid, Spain",,,,,,,23.8
701+,Universidad Simón Bolívar (USB),"Caracas, Venezuela",,,,,,,
701+,Universidad Técnica Federico Santa María (USM),"Valparaíso, Chile",,,37.8,,,17.8,
701+,Universidad Tecnológica Nacional (UTN),"Buenos Aires, Argentina",,,49.9,,,,
701+,Universidade Católica Portuguesa - UCP,"Lisbon, Portugal",,,45.6,,,,
701+,Universidade da Coruña,"A Coruña, Spain",,,,30.8,,,
701+,Universidade do Estado do Rio de Janeiro (UERJ),"Rio de Janeiro, Brazil",,,,44.9,,,
701+,Universidade Estadual de Londrina,"Londrina, Brazil",,,,43.5,,,
701+,Universidade Federal da Bahia,"Salvador, Brazil",,,,44.9,,,
701+,Universidade Federal de Santa Catarina,"Florianópolis, Brazil",,,,,,,
701+,Universidade Federal de Santa Maria,"Frederico Westphalen, Brazil",,,,,,,
701+,Universidade Federal de Viçosa (UFV),"Viçosa, Brazil",,,,35.6,,,
701+,Universidade Federal do Ceará (UFC),"Fortaleza, Brazil",,,,,,,
701+,Universidade Federal do Paraná - UFPR,"Curitiba, Brazil",,,,,,,
701+,Universidade Federal de Pernambuco (UFPE),"Recife, Brazil",,,,,,,
701+,Universidade Federal Fluminense,"Rio de Janeiro, Brazil",,,,35.7,,,
701+,Ca' Foscari University of Venice,"Venice, Italy",,,,,,19.4,
701+,Catania University,"Catania, Italy",,,,,22.1,,
701+,Universita' degli Studi di Ferrara,"Ferrara, Italy",,,,,54.7,,
701+,University of Genoa,"Genoa, Italy",,,,,21.7,,21
701+,Università degli Studi di Perugia,"Perugia, Italy",,,,,36.8,,
701+,University of Siena,"Siena, Italy",,,,,22.2,,
701+,University of Trieste,"Trieste, Italy",,,,,,,
701+,Università degli studi Roma Tre,"Rome, Italy",,,,,,,
701+,University of Palermo,"Palermo, Italy",,,,,,,
701+,Universitas Muhammadiyah Surakarta,"Surakarta, Indonesia",,,,,,,
701+,Université Charles-de-Gaulle Lille 3,France,,,,,,56.3,
701+,Université de Caen Normandie,"Caen, France",,,,,,,
701+,Université de Cergy-Pontoise,"Cergy, France",,,,,,28.8,33.1
701+,Université de Lorraine,"Nancy, France",,,,,,,42.1
701+,Université de Nantes,"Nantes, France",,,,,,,24.4
701+,Université de Poitiers,"Poitiers, France",,,,,,,46.3
701+,Université Jean Moulin Lyon 3,"Lyon, France",,,,,,19.8,41.1
701+,Université Lille 2 Droit et Santé,"Lille, France",,,,,,,
701+,Université Lumière Lyon 2,"Lyon, France",,,,,,23.9,37.4
701+,Université Paris-Nanterre,"Paris, France",,,,,,17.6,55.4
701+,Paul Valéry University Montpellier,"Montpellier, France",,,,,,28.5,34.1
701+,Université Toulouse 1 Capitole,"Toulouse, France",,,,,,42,72.7
701+,Universiti Teknologi MARA - UiTM,"Shah Alam, Malaysia",,,,28.4,,,
701+,Universiti Utara Malaysia (UUM),"Sintok, Malaysia",,,,,,54.9,55
701+,University of Bahrain,"Zallaq, Bahrain",,,31.2,,,90.4,26.1
701+,University of Bari,"Bari, Italy",,,,,,,
701+,University of Belgrade,"Belgrade, Serbia",,,,,,,
701+,Universitas Brawijaya,"Malang , Indonesia",,,,,,,
701+,University of Brescia,"Brescia, Italy",,,,,48.9,,
701+,University of Bucharest,"Bucharest, Romania",,,39,,,,
701+,University of Central Florida,"Orlando, United States",,,,,32,,
701+,University of Central Lancashire,"Preston, United Kingdom",,,,,,29.4,56.5
701+,University of Colombo,"Horana, Sri Lanka",,,,,,,
701+,University of Dhaka,"Dhaka, Bangladesh",,,45.4,,,,
701+,University of East London,"London, United Kingdom",,,,,,81.5,93.7
701+,University of Engineering & Technology (UET) Lahore,"Lahore, Pakistan",,,,,,,
701+,University of Ghana,"Legon, Ghana",,,,,,,
701+,University of Greenwich,United Kingdom,,,,,,72.7,96.3
701+,University of Hertfordshire,"Hatfield, United Kingdom",,,,,,59.7,83.8
701+,University of Huddersfield,"Huddersfield, United Kingdom",,,,,,45.2,73.9
701+,University of Karachi,"Karachi, Pakistan",,,,,,,
701+,University of Kufa,"Kufa, Iraq",,,,40.6,,,
701+,The University of Lahore,"Lahore, Pakistan",,,,,,,
701+,University of Maribor,"Maribor, Slovenia",,,,32.5,,,
701+,University of Montana Missoula,"Missoula , United States",,,,,,,
701+,University of Mumbai,"Mumbai, India",,,39.6,,,,
701+,University of Nairobi,"Nairobi, Kenya",,,,,,,
701+,University of New England Australia,"Armidale, Australia",,,,,25.3,,
701+,University of Pecs,"Pécs, Hungary",,,,,,,
701+,Savitribai Phule Pune University,"Pune, India",,,,,,,
701+,University of Salford,"Salford, United Kingdom",,,,,,23.1,83.2
701+,University of San Diego,"San Diego, United States",,,,25.3,,,
701+,University of San Francisco,"San Francisco, United States",,,,,,,50.4
701+,University of Santo Tomas,"Manila, Philippines",,,,,,,
701+,University of Southern Queensland,"Toowoomba, Australia",,,,,,68,63.2
701+,University of the Pacific,"Stockton, United States",,,,37.4,,,
701+,University of the Western Cape,"Cape Town, South Africa",,,,,,38.8,
701+,University of Tulsa,"Tulsa, United States",,,,34.2,,,84.9
701+,University of Wroclaw,"Wroclaw, Poland",,,,25.5,,,
701+,University of Wyoming,"Laramie, United States",,,,37.5,27.8,,
701+,Université de Toulouse II-Le Mirail,"Toulouse, France",,,,,,22.4,59
701+,Utah State University,"Logan, United States",,,,,36.8,,
701+,Verona University,"Verona, Italy",,,,,,,
701+,Vilnius Gediminas Technical University,"Vilnius , Lithuania",,,,29.7,,,23.2
701+,Voronezh State University,"Voronezh , Russia",,,,36,,,
701+,Vytautas Magnus University,"Kaunas, Lithuania",,,,,,21,
701+,Universitatea de Vest din Timisoara /  West University of Timisoara,"Timișoara, Romania",,,,,,,
701+,Yamaguchi University,"Yamaguchi City, Japan",,,,56.4,,,
701+,Yokohama National University,"Yokohama City, Japan",,,,30.7,,,
N/A,"University of California, San Francisco","San Francisco, United States",,61.5,,100,71.9,43.3,
N/A,Karolinska Institutet,"Stockholm, Sweden",,51.9,,99.4,88.7,83,86.1
N/A,Jawaharlal Nehru University,"New Delhi, India",,41.2,,44.2,,,
N/A,INSEAD,"Fontainebleau, France",,36.8,99.9,52.5,61.4,100,100
N/A,London Business School,"London, United Kingdom",,33,100,,94.1,100,100
N/A,Weizmann Institute of Science,"Rehovot, Israel",,30.4,,100,100,,
N/A,Baylor College of Medicine,"Houston, United States",,,31,100,35.8,,38.8
N/A,BI Norwegian Business School,"Oslo, Norway",,,31,,,81.4,
N/A,Copenhagen Business School,"Frederiksberg, Denmark",,,64.3,33,34.4,69.1,74.8
N/A,Cranfield University,"Bedford, United Kingdom",,,53.7,99.5,53.7,95.1,100
N/A,ESSEC Business School,"Cergy, France",,,88.7,,28.9,98,92.3
N/A,EBS Business School,"Wiesbaden, Germany",,,43,,,66.3,95.2
N/A,HEC Paris School of Management,"Paris, France",,,99.3,,58.2,100,100
N/A,King Abdullah University of Science & Technology (KAUST),"Thuwal, Saudi Arabia",,,,82.5,100,100,100
N/A,Stockholm School of Economics,Sweden,,,68.9,,63.4,88.7,50.6
N/A,Bocconi University,"Milan, Italy",,,98.1,,,30.4,31
N/A,Université de Technologie de Compiègne (UTC),"Compiègne, France",,,38.6,28.5,25.1,,53.2
N/A,Prague University of Economics and Business,"Prague, Czech Republic",,,43.9,,,23.3,56.5
N/A,WHU - Otto Beisheim School of Management,"Vallendar, Germany",,,41.9,28.2,47.1,65,
